"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","nlog10p.adj","p_adj_FDR","nlog10p.FDR","cluster"
"FERMT1",4.23378471206703e-82,-1.10738326910659,0.023,0.315,1.37602236926891e-77,76.8613745059471,2.65766213062026e-80,79.5755002318711,7
"TNR",1.44241509089319e-81,-1.31887505706163,0.083,0.44,4.68799328691196e-77,76.3290130188883,8.66076191531955e-80,79.0624439000077,7
"OS9",1.84444772752882e-80,-1.30469219338816,0.133,0.503,5.99463955924141e-76,75.2222369246816,1.01887292468692e-78,77.9918799784555,7
"ZBTB20",6.2179106842244e-80,-1.2145966539453,0.294,0.691,2.02088315147977e-75,74.6944587968927,3.30266717496688e-78,77.4811351899653,7
"FAM181B",1.13575724890666e-79,-0.958077169056436,0.056,0.389,3.69132463467152e-75,74.432817758964,5.80918800274108e-78,77.2358845682248,7
"ACTG1",2.88070999196353e-79,-1.02540704319503,0.623,0.889,9.36259554488067e-75,74.0286037373135,1.3718139651385e-77,76.8627047803143,7
"BSG",1.22649478537277e-77,-1.19239478534892,0.213,0.61,3.98623070194005e-73,72.3994375702416,5.64596432866599e-76,75.2482618700631,7
"ATP23",1.74339899702797e-74,-0.955693786783665,0.016,0.271,5.6662210802406e-70,69.2467064845181,7.76656133837299e-73,72.1097712234542,7
"GAPDH",5.52036998636981e-74,-1.244466318595,0.864,0.962,1.79417544927005e-69,68.7461350903197,2.38238467224272e-72,71.6229881137414,7
"NFIB",1.57628846043308e-69,-1.15950478677066,0.131,0.482,5.12309512525357e-65,64.2904675801008,6.04681767738358e-68,67.2184731259699,7
"MALAT1",1.798200295965e-69,-0.851532094541428,1,1,5.84433078191585e-65,64.2332652115099,6.71166110466937e-68,67.1731699806787,7
"NTRK2",1.28633767917663e-68,-1.24813844625987,0.098,0.426,4.18072609109198e-64,63.3787482852178,4.67482193406035e-67,66.3302349269365,7
"ASCL1",5.14826701235887e-68,-1.06272407893852,0.062,0.364,1.67323826168676e-63,62.7764422130315,1.7774391860169e-66,65.7502052494613,7
"MT-CYB",5.11404953322437e-67,-0.858347885199237,0.936,0.976,1.66211723879325e-62,61.7793383461565,1.68154819175782e-65,64.7742906816562,7
"AVIL",1.00033580265161e-66,-0.973343839810309,0.035,0.297,3.25119139219798e-62,61.4879574635618,3.21270638014388e-65,64.4931289642431,7
"HES6",1.67006577655654e-66,-1.72306842385519,0.139,0.462,5.42788078038641e-62,61.2653696998828,5.24172917596496e-65,64.2805254214708,7
"LUC7L3",3.37192498665548e-66,-0.971944074755224,0.464,0.806,1.0959093399129e-61,60.9602253717678,1.03480631257138e-64,63.9851409306449,7
"OLIG1",4.21647282077179e-66,-1.73113235769019,0.194,0.53,1.37039583147904e-61,60.8631539710936,1.26585847075779e-64,63.897614847877,7
"SOX2",7.95333914307528e-65,-1.02743059420047,0.366,0.761,2.5849147548909e-60,59.5875537744621,2.28824194928895e-63,62.6404980569395,7
"VCAN",2.20573989992778e-64,-1.17546015683604,0.18,0.53,7.16887524875528e-60,59.1445489770486,6.09225360360053e-63,62.2152220264864,7
"RGCC",2.36002094204802e-64,-1.16437416451349,0.031,0.282,7.67030406375028e-60,59.1151874195463,6.39056651170259e-63,62.194460640746,7
"METRN",2.55415068470346e-64,-1.13810552872205,0.224,0.584,8.30124514035473e-60,59.0808567609941,6.78323479918362e-63,62.1685631497307,7
"VEGFA",1.22776452564775e-63,-1.05449498614898,0.139,0.497,3.99035748480777e-59,58.3989881953597,3.13989409244361e-62,61.5030850002844,7
"OLFM1",7.47055602523951e-63,-1.18974485763061,0.035,0.289,2.42800541376309e-58,57.6147503492422,1.87578870379196e-61,60.7268160838383,7
"WSCD1",7.66102350422761e-62,-0.79037581283248,0.032,0.283,2.48990924910902e-57,56.6038164815506,1.85611815076111e-60,59.7313943823249,7
"GNAS",1.23550706955264e-61,-1.48153308061639,0.401,0.703,4.01552152675303e-57,56.396258041548,2.94178493629689e-60,59.5313890802127,7
"AC083805.1",1.07428799482365e-60,-0.612859430942622,0,0.184,3.49154341197635e-56,55.456982553805,2.47265286808577e-59,58.6068368492904,7
"ENO1",1.22753255947081e-60,-1.186815118255,0.335,0.669,3.98960357153609e-56,55.3990702560044,2.7790532207036e-59,58.556103136117,7
"LINC01268",3.5792291565865e-60,-0.649020998678216,0.014,0.226,1.16328526818218e-55,54.9343137717672,7.9724442987838e-59,58.0984085063673,7
"FIBIN",4.19488868545287e-60,-0.870109645327466,0.046,0.309,1.36338077165904e-55,54.8653828353348,9.19546234065145e-59,58.0364264298902,7
"PGK1",3.26205336490417e-59,-1.30551190853287,0.149,0.47,1.0601999641275e-54,53.9746122148042,7.03889952645728e-58,57.1524952338899,7
"RAC1",4.51888517657223e-59,-1.02298118453837,0.325,0.669,1.46868287123774e-54,53.8330719701321,9.60089296745576e-58,57.0176883718768,7
"EEF1A2",2.45612046025058e-58,-0.636283974316698,0.013,0.22,7.9826371078604e-54,53.0978536133866,5.1392459933425e-57,56.2891005940303,7
"OLFM2",1.66639346056814e-57,-0.69670516581822,0.027,0.256,5.41594538619251e-53,52.2663257236794,3.43476025230538e-56,55.464103571482,7
"MT-ND2",1.93796646179757e-56,-0.746134127421332,0.951,0.982,6.29858479748828e-52,51.2007570193852,3.82333097677492e-55,54.4175581045012,7
"LDHA",3.07521251770066e-56,-1.00167998663536,0.209,0.55,9.99474820377891e-52,51.000228142525,5.98150491118959e-55,54.2231895363459,7
"MT-ND4",4.34433692622709e-56,-0.669706185396236,0.978,0.986,1.41195294439306e-51,50.8501797766064,8.33267957655501e-55,54.0792153181395,7
"VAMP2",6.14330167140439e-56,-0.953130730412707,0.279,0.608,1.99663447622314e-51,50.6997014341223,1.16217802852184e-54,53.9347273393446,7
"FXYD6",2.15533536098929e-55,-1.07301762946082,0.184,0.502,7.00505545675128e-51,50.1545884221961,4.02232180206244e-54,53.3955231870289,7
"MAGI1",7.57044766302715e-54,-0.761827355045856,0.063,0.324,2.46047119496045e-49,48.6089817149392,1.39397176301873e-52,51.8557460234327,7
"PCOLCE2",4.79203860369295e-53,-0.830808596384232,0.027,0.241,1.55746046658625e-48,47.8075829683358,8.5945523528571e-52,51.0657767386101,7
