"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"AluYk2",1.03009274208527e-41,0.57585377309341,0.61,0.65,3.34790442105133e-37,1.19085068508987e-41,36.4752269491264,40.9241426891526,7
"L1PA8A",3.32325436982483e-41,0.551912541387761,0.642,0.686,1.08009090273677e-36,3.83418251491822e-41,35.9665396918319,40.4163272176616,7
"IGLC2",2.03179582803953e-40,0.630347386200054,0.155,0.077,6.60353962071127e-36,2.33325322634479e-40,35.1802232120831,39.6320381249712,7
"L1MA6",2.18882988643234e-36,0.52799639352092,0.659,0.726,7.11391601389375e-32,2.48220787383851e-36,31.1478912663526,35.6051618510884,7
"IGLC1",8.1908633731756e-35,0.613506855608535,0.162,0.084,2.6621125049158e-30,9.25224488357401e-35,29.5747735945294,34.0337528810703,7
"L1PB2",1.87492657559158e-29,0.513697559172025,0.584,0.623,6.09369886333019e-25,2.08244740635204e-29,24.2151190114237,28.6814259581899,7
"NOVA1",8.5943155914127e-28,0.747696354155753,0.639,0.65,2.79323851036504e-23,9.50883891716559e-28,22.5538919789739,27.0218725096296,7
"POLR2J3",5.94990555819697e-26,0.503487593420715,0.602,0.656,1.9337788054696e-21,6.55781417206128e-26,20.7135932040161,25.1832408940393,7
"GRIA2",2.74657749377391e-25,0.610343842000552,0.346,0.291,8.9266515125146e-21,3.02141029589151e-25,20.0493114193144,24.5197902952026,7
"AluYg6",9.34431017058192e-23,0.521092316458084,0.493,0.512,3.03699424854083e-18,1.02336797934165e-22,17.5175560305478,21.9899681760025,7
"L1ME3E",3.01863888227094e-22,0.539417150067899,0.561,0.609,9.81087823126878e-18,3.29966479467995e-22,17.0082921145444,21.4815301768539,7
"SVA-F",2.50502755777035e-21,0.689339096497579,0.571,0.631,8.14159006550943e-17,2.73477391822368e-21,16.089290768423,20.5630785706564,7
"SNTG1",4.86835044179026e-21,0.612760378800732,0.318,0.271,1.58226257708625e-16,5.30813194095388e-21,15.8007214435204,20.275058290684,7
"FAM",1.48741582131728e-19,0.510096615216095,0.576,0.645,4.83425016086329e-15,1.61871356090393e-19,14.315670879648,18.7908299949308,7
"RIC3",1.02145833736723e-17,0.51963227950138,0.278,0.234,3.31984174227723e-13,1.10952617388032e-17,12.4788826187339,16.9548624482425,7
"DLL3",8.05972844762566e-15,0.508695640401634,0.178,0.125,2.61949234276282e-10,8.71076474677639e-15,9.58178286673339,14.0599437151731,7
"MEG3",4.38139428188885e-10,0.571440076957992,0.512,0.542,1.42399695555669e-05,4.68543155547717e-10,4.84649093920081,9.3292504018881,7
"MARCH9",6.33636013328052e-10,0.574446060572424,0.207,0.166,2.0593804069175e-05,6.76348645024254e-10,4.68626342348123,9.16982937568887,7
"KCNQ1OT1",7.95017440854488e-09,0.529150547522266,0.363,0.364,0.000258388618452117,8.46514560712428e-09,3.58772662013633,8.07236556728609,7
