gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
ARHGDIB,2.83E-15,-0.271877663,0.118,0.187,9.21E-11,3.07E-15,10.03557015,14.51318677,NA,NA,NO,10.03557015,NA
ARID1B,0.272084635,0.295399936,0.267,0.302,1,0.27788052,0,0.556141896,NA,NA,NO,0,NA
ARL2,1.88E-99,-0.328753864,0.121,0.382,6.10E-95,4.02E-99,94.21467935,98.39533117,NA,NA,NO,94.21467935,NA
ARL2BP,2.74E-78,-0.2638781,0.146,0.383,8.91E-74,3.97E-78,73.05033522,77.40073812,NA,NA,NO,73.05033522,NA
ARL3,1.41E-104,-0.345411465,0.098,0.356,4.58E-100,3.30E-104,99.33882365,103.4817359,NA,NA,NO,99.33882365,NA
ARL4C,2.73E-59,-0.317832537,0.139,0.335,8.89E-55,3.47E-59,54.05130699,58.46002104,NA,NA,NO,54.05130699,NA
ARL6IP1,5.75E-131,-0.708482596,0.427,0.764,1.87E-126,2.11E-130,125.7280589,129.6759357,NA,NA,DOWN,125.7280589,NA
ARL6IP5,1.42E-146,-0.522308266,0.172,0.516,4.60E-142,6.92E-146,141.3371934,145.1598241,NA,NA,DOWN,141.3371934,NA
ARPC1A,1.50E-137,-0.484070768,0.149,0.473,4.86E-133,6.08E-137,132.3132086,136.2164535,NA,NA,NO,132.3132086,NA
ARPC1B,2.69E-48,-0.465572898,0.16,0.323,8.74E-44,3.20E-48,43.05828281,47.49450675,NA,NA,NO,43.05828281,NA
ARPC2,1.51E-205,-0.865538051,0.345,0.717,4.92E-201,2.04E-204,200.3083866,203.6904525,NA,NA,DOWN,200.3083866,NA
ARPC3,9.83E-167,-0.632351926,0.359,0.739,3.19E-162,6.76E-166,161.495716,165.1702457,NA,NA,DOWN,161.495716,NA
ARPC4,1.39E-105,-0.350928249,0.112,0.373,4.52E-101,3.32E-105,100.3451934,104.4784844,NA,NA,NO,100.3451934,NA
ARPC5,1.24E-253,-0.851424993,0.201,0.642,4.02E-249,3.33E-252,248.3961578,251.4771937,NA,NA,DOWN,248.3961578,NA
ARPP19,1.83E-110,-0.351938601,0.204,0.515,5.95E-106,4.78E-110,105.225277,109.3203344,NA,NA,NO,105.225277,NA
ASAH1,7.65E-91,-0.369592669,0.142,0.393,2.49E-86,1.39E-90,85.60440174,89.85743819,NA,NA,NO,85.60440174,NA
ASIC4,0.05816644,0.281107774,0.147,0.145,1,0.060080955,0,1.221263172,NA,NA,NO,0,NA
ASPH,1.13E-68,-0.324647271,0.175,0.402,3.66E-64,1.52E-68,63.4368247,67.81956866,NA,NA,NO,63.4368247,NA
ATF3,5.25E-54,-0.338153017,0.06,0.206,1.71E-49,6.48E-54,48.76760277,53.18827641,NA,NA,NO,48.76760277,NA
