"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster","group"
"GO:0042129","regulation of T cell proliferation","BP",0.00119776718405921,0.00772166594761102,2.11228899062278,3.01588089330025,4.2489133891657,12,167,"7","TE-enriched"
"GO:0048145","regulation of fibroblast proliferation","BP",0.00123047804105449,0.00782307111239419,2.10662272196157,4.1380790960452,2.1117353970105,8,83,"7","TE-enriched"
"GO:0048144","fibroblast proliferation","BP",0.00133038410218841,0.00839585920759365,2.07593485282878,4.08340767172168,2.1371779921552,8,84,"7","TE-enriched"
"GO:0042098","T cell proliferation","BP",0.0015084080723744,0.00937121986042561,2.02820387291487,2.78433771795656,4.96130605321743,13,195,"7","TE-enriched"
"GO:0016209","antioxidant activity","MF",7.07847830859744e-12,8.22873103374452e-10,9.08466713289632,10.2009167303285,2.24934612031386,18,86,"7","TE-enriched"
"GO:0004601","peroxidase activity","MF",8.060219933125e-07,2.02594717238007e-05,4.69337188328124,9.03242147922999,1.36006974716652,10,52,"7","TE-enriched"
"GO:0008379","thioredoxin peroxidase activity","MF",2.2635656583468e-06,5.01218110062505e-05,4.29997324542306,150.176470588235,0.13077593722755,4,5,"7","TE-enriched"
"GO:0004129","cytochrome-c oxidase activity","MF",7.16385906720564e-05,0.00116884016359671,2.93224487362344,10.2704257767549,0.732345248474281,6,28,"7","TE-enriched"
"GO:0015002","heme-copper terminal oxidase activity","MF",7.16385906720564e-05,0.00116884016359671,2.93224487362344,10.2704257767549,0.732345248474281,6,28,"7","TE-enriched"
"GO:0004602","glutathione peroxidase activity","MF",0.000172433212887821,0.0023582777644952,2.62740504381977,11.7473684210526,0.549258936355711,5,21,"7","TE-enriched"
