"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPLP2",5.77072842973903e-262,-1.29069809903624,0.814,0.98,1.81933755204382e-257
"HAGLR",2.45931772397073e-261,0.507665704452899,0.128,0.01,7.75349098836251e-257
"RPL27",6.66918121526346e-261,-1.1805537635364,0.694,0.943,2.10259276173611e-256
"RPS7",1.12262575893934e-260,-1.25803398669195,0.781,0.963,3.53930223020805e-256
"ZEB2",1.85947235393223e-257,1.5060160597599,0.723,0.374,5.86235849024214e-253
"REPS2",2.75609865837363e-256,0.537660749679586,0.138,0.012,8.68915224025454e-252
"APP",4.76164905443317e-255,1.39725436454834,0.84,0.521,1.50120509739115e-250
"CST3",2.1956345228365e-253,-2.63319713409036,0.323,0.781,6.92217696014662e-249
"THBS2",3.99888301159838e-253,1.04430935248093,0.271,0.048,1.26072784706662e-248
"LAYN",2.12834395724138e-252,0.843260608846556,0.21,0.03,6.71002999399491e-248
"SCARB2",5.46239837583978e-252,1.48323283556586,0.703,0.365,1.72213033595101e-247
"PAQR6",1.26350744024862e-251,1.15878631267154,0.364,0.085,3.98345990687183e-247
"CLASP2",1.66083009952e-250,1.37414060896431,0.49,0.158,5.23609905475671e-246
"PTPRZ1",2.63495570534784e-250,-2.74786610276454,0.182,0.69,8.30722485225014e-246
"SEMA7A",1.72965759529597e-245,0.602618134956654,0.141,0.014,5.45309150068959e-241
"RPL24",5.97385332622312e-244,-1.1430029564358,0.747,0.962,1.88337673815836e-239
"RPL36A",1.65982002868453e-241,-1.43005935496499,0.674,0.943,5.23291460443371e-237
"LINC00844",8.65297388826056e-241,2.10983340194379,0.5,0.171,2.72802307775191e-236
"RPL29",1.20124494324207e-240,-1.20154972787966,0.78,0.96,3.78716493255926e-236
"RPL10",4.67222834328622e-240,-1.11130651168254,0.954,0.99,1.47301342978785e-235
"RPLP0",1.10699545441926e-239,-1.33832069807269,0.74,0.939,3.49002456914761e-235
"CPOX",1.48517356203863e-239,0.819718436377663,0.231,0.037,4.6823066890392e-235
"TMEFF2",1.94586686008539e-239,1.10782969685571,0.362,0.087,6.13473444979121e-235
"RPL11",1.08118965027982e-238,-1.15044879792054,0.855,0.976,3.4086666104372e-234
"RPS16",3.78701990556702e-238,-1.34663972489057,0.796,0.97,1.19393376562811e-233
"TLE4",5.74658185255829e-238,1.42920235447085,0.629,0.268,1.81172486065605e-233
"DIXDC1",9.16073432823496e-238,1.17307280055305,0.373,0.095,2.88810471166264e-233
"RPL35A",1.00920592990722e-237,-1.2182675716495,0.782,0.965,3.18172353521849e-233
"UBB",1.43078878933814e-236,1.06030178040596,0.977,0.901,4.51084781614634e-232
"RASGRF2",2.02705628212397e-236,0.411105056785105,0.104,0.007,6.39070034065225e-232
"FAM222A",5.6359384338899e-233,0.752254073884057,0.208,0.031,1.77684231005247e-228
"RPS28",3.73532442768286e-229,-1.1404930670098,0.816,0.974,1.17763573231558e-224
"RPLP1",5.20604198792815e-229,-1.35898502887158,0.876,0.987,1.64130885753411e-224
"RPL12",5.36622298338036e-228,-1.34936696476744,0.767,0.968,1.69180911997033e-223
"SIK3",8.04777740021294e-228,1.14669236067706,0.347,0.086,2.53722278096513e-223
"MARCKS",2.89009909871291e-227,-1.43062568465315,0.178,0.733,9.11161542851219e-223
"RPL6",7.09228101241631e-227,-1.09056767096162,0.856,0.969,2.23598343478449e-222
"IGSF8",1.23114608379968e-226,1.27696643417346,0.389,0.108,3.88143425839524e-222
"EEF1G",1.62739815631991e-226,-1.23839336620211,0.739,0.937,5.13069816742978e-222
"FNTB",1.84230045808344e-226,1.0631386636384,0.301,0.066,5.80822065419965e-222
"FABP7",7.45132662936713e-226,-2.73434582288675,0.139,0.637,2.34917974644057e-221
"CD99",2.03046152040256e-225,-2.14003430488912,0.11,0.622,6.40143603537316e-221
"NIPA1",3.08556360808822e-225,0.857805524380772,0.24,0.042,9.72785638721973e-221
"ARL8A",3.51622985244263e-225,1.36538549138777,0.521,0.195,1.10856178557959e-220
"RPL7",8.78217092515002e-225,-1.15584105808713,0.89,0.974,2.76875502757205e-220
"RASSF2",4.23779863052483e-223,1.47095765970213,0.507,0.19,1.33605077424556e-218
"IFIT2",4.57238119238457e-223,1.07095501096879,0.288,0.06,1.44153461852308e-218
"MAP1A",1.543422655069e-222,1.35824510568956,0.652,0.318,4.86594860463603e-218
"PMP22",4.16821580213216e-222,1.36776202219843,0.742,0.386,1.31411339593821e-217
"MAP7D1",5.33085591596388e-222,1.37793793006694,0.513,0.193,1.68065894462593e-217
"RPL35",1.25022313290255e-221,-1.06033171438695,0.779,0.968,3.94157847110187e-217
"OLIG1",3.96861764489648e-221,0.927636104985116,0.672,0.261,1.25118608490651e-216
