"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DBF4.2",4.214516651802e-41,-0.267660612697612,0.875,0.591,8.429033303604e-38,"8","DBF4"
"UBE2T.2",1.65719921680197e-07,-0.379704043462166,0.82,0.56,0.000331439843360394,"8","UBE2T"
"CALCRL.1",0.000272117020200755,-0.281670227266074,0.928,0.635,0.544234040401511,"8","CALCRL"
"IFITM1",0,-0.270767778076649,0.462,0.858,0,"9","IFITM1"
"NIBAN1",0,-0.422364842809641,0.325,0.851,0,"9","NIBAN1"
"PPIC",0,-0.478815284244355,0.403,0.866,0,"9","PPIC"
"F13A1",0,-0.550892027010115,0.253,0.83,0,"9","F13A1"
"ARHGAP18",0,-0.597214022689078,0.332,0.854,0,"9","ARHGAP18"
"NRP2",0,-0.732883627667149,0.37,0.877,0,"9","NRP2"
"DCN.1",0,-0.794347119325508,0.359,0.863,0,"9","DCN"
"CALHM6",5.97483286373676e-302,-0.472377480125683,0.544,0.882,1.19496657274735e-298,"9","CALHM6"
"SERPINA1",1.15911100282917e-301,-0.380118267958693,0.286,0.825,2.31822200565833e-298,"9","SERPINA1"
"XAF1.1",2.15424327833331e-298,-0.595384586456949,0.41,0.86,4.30848655666663e-295,"9","XAF1"
"MS4A6A",6.34884493587977e-298,-0.846748850736598,0.265,0.839,1.26976898717595e-294,"9","MS4A6A"
"GJA1.1",1.347456245667e-293,-0.596667060753722,0.398,0.849,2.694912491334e-290,"9","GJA1"
"TPD52L1.1",8.60786294973308e-293,-0.493610916597516,0.492,0.859,1.72157258994662e-289,"9","TPD52L1"
"TGFBI",6.37361496600398e-290,-0.626090254486383,0.432,0.868,1.2747229932008e-286,"9","TGFBI"
"GBP2",1.31036723058551e-288,-0.654222858155242,0.34,0.876,2.62073446117101e-285,"9","GBP2"
"ITGB2",9.58189533388704e-283,-0.574601961702412,0.302,0.836,1.91637906677741e-279,"9","ITGB2"
"BST2",8.57573190547683e-282,-0.935779357475027,0.384,0.846,1.71514638109537e-278,"9","BST2"
"CLEC2B",5.15638843780926e-275,-0.631952598788891,0.48,0.854,1.03127768756185e-271,"9","CLEC2B"
"IFI30",7.22366260650298e-274,-0.789649377099983,0.371,0.869,1.4447325213006e-270,"9","IFI30"
"HAMP",7.58552878780525e-274,-0.655560444805055,0.331,0.84,1.51710575756105e-270,"9","HAMP"
"VCAM1",1.05555330371211e-272,-0.436261746424135,0.405,0.836,2.11110660742423e-269,"9","VCAM1"
"TRDC",5.75109015024219e-272,-0.41993603355224,0.442,0.834,1.15021803004844e-268,"9","TRDC"
"GPR37.1",2.84592368673792e-271,-0.576512817763278,0.45,0.817,5.69184737347584e-268,"9","GPR37"
"CXCL11.1",8.18919114298226e-267,-0.423146191700773,0.403,0.834,1.63783822859645e-263,"9","CXCL11"
"CCL2",3.14680380562494e-265,-0.691880998478689,0.422,0.867,6.29360761124988e-262,"9","CCL2"
"BHLHE41",8.37105811614248e-261,-0.643083343743415,0.396,0.822,1.6742116232285e-257,"9","BHLHE41"
"LOX.1",2.88102318609495e-260,-0.701702995994496,0.378,0.856,5.7620463721899e-257,"9","LOX"
"CAPG",3.55464488293203e-259,-0.533427126478485,0.36,0.833,7.10928976586406e-256,"9","CAPG"
"S100A4",1.58926850941444e-254,-0.735299970975967,0.404,0.89,3.17853701882889e-251,"9","S100A4"
"FCGBP",3.28922633576899e-254,-1.43979632264286,0.434,0.88,6.57845267153798e-251,"9","FCGBP"
"SDC2",8.84109341044217e-253,-0.457007793563856,0.478,0.844,1.76821868208844e-249,"9","SDC2"
"EGFR.1",1.48629191475624e-252,-0.988051823261238,0.453,0.841,2.97258382951248e-249,"9","EGFR"
"GBP1.1",1.15699253599316e-250,-0.792548399735532,0.451,0.866,2.31398507198631e-247,"9","GBP1"
"OAF.1",1.24764801763285e-246,-0.301982493632592,0.376,0.79,2.4952960352657e-243,"9","OAF"
"CA3.1",1.449381722952e-245,-0.315133308365873,0.411,0.811,2.89876344590399e-242,"9","CA3"
"CXCL3",2.82102977433934e-242,-0.417854015705098,0.331,0.811,5.64205954867868e-239,"9","CXCL3"
"KCTD12",1.55900140043776e-241,-0.519726991427631,0.43,0.853,3.11800280087552e-238,"9","KCTD12"
"SAA1",2.18976445525099e-240,-1.02504400926873,0.42,0.882,4.37952891050197e-237,"9","SAA1"
"STOM",2.93153563041935e-238,-0.49072679990404,0.438,0.827,5.86307126083871e-235,"9","STOM"
"LTF.1",5.09210563057326e-237,-0.522350435751467,0.409,0.843,1.01842112611465e-233,"9","LTF"
"SRGN",5.64100322852577e-237,-1.38682993399811,0.41,0.835,1.12820064570515e-233,"9","SRGN"
"MTUS1",7.62085743202181e-235,-0.566740826680909,0.37,0.787,1.52417148640436e-231,"9","MTUS1"
"C3",1.73391438862404e-233,-0.696990359354583,0.447,0.856,3.46782877724809e-230,"9","C3"
"NRP1",2.60961367169802e-233,-0.264315264788739,0.43,0.845,5.21922734339604e-230,"9","NRP1"
"FCGR3A",3.35857157825448e-230,-0.775450350090586,0.349,0.827,6.71714315650896e-227,"9","FCGR3A"
"CHI3L2.1",8.86947242465911e-226,-0.72172693511452,0.403,0.84,1.77389448493182e-222,"9","CHI3L2"
"VSIG4",2.61614962109281e-224,-0.638332906496258,0.243,0.754,5.23229924218563e-221,"9","VSIG4"
"PKIB",1.5108250991071e-222,-0.691978016567419,0.403,0.798,3.02165019821421e-219,"9","PKIB"
"FN1.1",1.63288770584395e-222,-1.34788829152517,0.568,0.91,3.26577541168791e-219,"9","FN1"
"PARP14",4.67726222181962e-221,-0.382743404899856,0.347,0.854,9.35452444363924e-218,"9","PARP14"
"VAMP8",7.39808776886664e-221,-0.778089355631402,0.318,0.825,1.47961755377333e-217,"9","VAMP8"
"MGP.1",7.68962871529178e-221,-0.730078754211029,0.506,0.886,1.53792574305836e-217,"9","MGP"
"GYPC",2.9897728511947e-220,-0.408028110334736,0.385,0.836,5.97954570238941e-217,"9","GYPC"
